,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
123,Donte DiVincenzo,SG,24,MIL,36,36,26.7,3.9,9.3,.418,1.9,4.9,.384,2.0,4.4,.456,.519,0.6,0.9,.636,1.2,3.5,4.7,3.0,1.1,0.2,1.2,1.5,10.3
124,Luka Dončić,PG,21,DAL,32,32,35.2,10.0,20.9,.478,2.7,7.4,.357,7.3,13.4,.544,.541,6.0,8.0,.757,0.8,7.6,8.4,9.0,1.0,0.7,4.2,2.0,28.6
125,Luguentz Dort,SG,21,OKC,35,35,29.7,4.3,11.0,.388,1.9,6.0,.325,2.3,5.0,.463,.477,1.9,2.5,.750,0.7,2.8,3.5,1.5,0.9,0.3,1.5,2.4,12.3
126,Damyean Dotson,SG,26,CLE,30,6,18.8,2.6,6.6,.401,1.0,3.5,.279,1.7,3.1,.538,.475,0.6,0.9,.692,0.1,1.6,1.8,2.2,0.4,0.1,0.8,0.9,6.8
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Devon Dotson,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
129,Sekou Doumbouya,PF,20,DET,32,2,13.7,1.6,4.4,.355,0.5,1.9,.250,1.1,2.5,.432,.408,0.6,0.8,.731,0.5,1.8,2.3,0.7,0.4,0.1,0.6,1.6,4.2
130,PJ Dozier,SG,24,DEN,21,0,19.4,2.8,6.0,.457,1.0,2.4,.392,1.8,3.6,.500,.535,1.1,1.8,.605,0.9,3.0,3.9,1.7,0.5,0.6,0.8,1.7,7.6
131,Goran Dragić,PG,34,MIA,22,8,27.1,5.3,11.5,.458,1.6,4.4,.361,3.7,7.1,.519,.528,2.6,3.1,.841,0.3,2.8,3.1,4.8,0.6,0.2,2.8,2.6,14.8
132,Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
133,Jared Dudley,PF,35,LAL,11,0,6.9,0.2,0.6,.286,0.2,0.5,.400,0.0,0.2,.000,.429,0.0,0.0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
